INVOICE;Исходный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Код страны поставщика;УНП поставщика;Код филиала для поставщика;Наименование поставщика;ИМНС поставщика;Статус поставщика;ФИО подписавшего ЭСЧФ поставщика;Код страны получателя;УНП получателя;Код филиала для получателя;Наименование получателя;ИМНС получателя;Статус получателя;ФИО подписавшего ЭСЧФ получателя;№ ЭСЧФ;К ЭСЧФ;Тип ЭСЧФ;Статус ЭСЧФ;Дата выставления;Дата совершения;Дата подписания получателем;Дата аннулирования;Регистрационный номер выпуска товаров (поставщик);Дата выпуска товаров (поставщик);Дата разрешения на убытие товаров (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (поставщик);Регистрационный номер выпуска товаров (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (получатель);Дата ввоза товаров (получатель);Договор;Дата договора;Вид документа;Наименование документа;Код формы;Серия;Номер;Дата документа;Cумма без НДС;Cумма акциза;Сумма НДС;Стоимость с НДС
112;690314876;     ;"РУП  ""Белоруснефть-Минскоблнефтепродукт""";606;Комиссионер;Ковалев Сергей Николаевич;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;690314876-2018-1800022702;;Исходный;Выставлен. Подписан получателем;07.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""5434""";06.11.2014;Другое;НТУ-АЗС;;;"""5434/28-02-2018""";28.02.2018;62,22;0;12,45;74,67
112;690314876;     ;"РУП  ""Белоруснефть-Минскоблнефтепродукт""";606;Комиссионер;Ковалев Сергей Николаевич;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;690314876-2018-1800023980;;Исходный;Выставлен. Подписан получателем;07.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""5434""";06.11.2014;Другое;НТУ-АЗС;;;"""5434/28-02-2018""";28.02.2018;53,12;0;10,63;63,75
112;190557843;;"СООО ""Интеллект-Лизинг""";106;Продавец;Фетисова Елена Александровна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;190557843-2018-0000001052;;Исходный;Выставлен;07.03.2018;28.02.2018;;;"""""";;;"""""";;"""""";"""""";;;"""2074""";11.12.2017;Договор;Договор;;;"""2074""";11.12.2017;644,74;0;128,95;773,69
112;101015738;;"РУП ""Белпочта""";103;Продавец;Цитович Елена Валерьевна;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;101015738-2018-0000179037;;Исходный;Выставлен. Подписан получателем;09.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""596""";21.02.2018;Другое;Квитанция;;;"""9616""";15.02.2018;39,3;0;7,86;47,16
112;800013732;;"Совместное общество с ограниченной ответственностью ""Мобильные ТелеСистемы""";107;Продавец;Щетко Дмитрий Николаевич;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;800013732-2018-1201264366;;Исходный;Выставлен. Подписан получателем;09.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""107316033119""";15.04.2016;Другое;Счёт-акт оказанных услуг;;;"""8780135184""";28.02.2018;5,15;0;1,29;6,44
643;4025418492;     ;"ООО ""Эком""";;Иностранная организация;Римша Александр Николаевич;112;691772248;     ;"ООО ХимПромОил""";107;Покупатель; ;691772248-2018-0000000781;;Исходный;Выставлен. Подписан получателем;20.03.2018;28.02.2018;20.03.2018;;"""""";;;"""""";;"""""";"""1""";28.02.2018;02.02.2018;"""2014-020""";10.10.2014;;;;;"""""";;33647,19;2977,09;6729,44;33647,19
112;190117474;;"УП ""ЖЭС МЖК""";107;Продавец;Волошина Галина Андреевна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;190117474-2018-0000000234;;Исходный;Выставлен. Подписан получателем;01.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""№74""";01.01.2017;Счет-фактура;;;;"""182""";28.02.2018;33,46;0;6,69;40,15
112;690314876;     ;"РУП  ""Белоруснефть-Минскоблнефтепродукт""";606;Продавец;Ковалев Сергей Николаевич;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;690314876-2018-1800014193;;Исходный;Выставлен. Подписан получателем;06.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""5434""";06.11.2014;Другое;НТУ-АЗС;;;"""5434/28-02-2018""";28.02.2018;416,62;0;83,33;499,95
112;690314876;     ;"РУП  ""Белоруснефть-Минскоблнефтепродукт""";606;Комиссионер;Ковалев Сергей Николаевич;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;690314876-2018-1800018388;;Исходный;Выставлен. Подписан получателем;07.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""5434""";06.11.2014;Другое;НТУ-АЗС;;;"""5434/28-02-2018""";28.02.2018;1781,94;5,74;356,44;2138,38
112;690314876;     ;"РУП  ""Белоруснефть-Минскоблнефтепродукт""";606;Комиссионер;Ковалев Сергей Николаевич;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;690314876-2018-1800023241;;Исходный;Выставлен. Подписан получателем;07.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""5434""";06.11.2014;Другое;НТУ-АЗС;;;"""5434/28-02-2018""";28.02.2018;80,13;0;16,03;96,16
