
INVOICE;Исходный
"Код страны поставщика";УНП поставщика;Код филиала для поставщика;Наименование поставщика;ИМНС поставщика;Статус поставщика;ФИО подписавшего ЭСЧФ поставщика;Код страны получателя;УНП получателя;Код филиала для получателя;Наименование получателя;ИМНС получателя;Статус получателя;ФИО подписавшего ЭСЧФ получателя;№ ЭСЧФ;К ЭСЧФ;Тип ЭСЧФ;Статус ЭСЧФ;Дата выставления;Дата совершения;Дата подписания получателем;Дата аннулирования;Регистрационный номер выпуска товаров (поставщик);Дата выпуска товаров (поставщик);Дата разрешения на убытие товаров (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (поставщик);Регистрационный номер выпуска товаров (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (получатель);Дата ввоза товаров (получатель);Договор;Дата договора;Вид документа;Наименование документа;Код формы;Серия;Номер;Дата документа;Cумма без НДС;Cумма акциза;Сумма НДС;Стоимость с НДС
112;101528843;;"Унитарное предприятие ""Велком""";111;Продавец;Бабич Алеся Ивановна;112;100588821;;"НП ООО ""Эртекс""";105;Покупатель;" ";101528843-2018-9910190530;;Исходный;Выставлен. Подписан получателем;06-03-2018;28-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""104302775""";30.09.2008;Акт;;;;"""2018030395064094""";2018-02-28;96,69;0,0;24,170;120,860
112;102347252;"     ";"Завод металлоконструкций ОАО ""Трест №15""Спецстрой""";105;Продавец;Красногирь Тамара Владимировна;112;100588821;"     ";"НП ООО ""Эртекс""";105;Покупатель;" ";102347252-2018-0000000407;;Исходный;Выставлен. Подписан получателем;06-03-2018;28-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""06-02/2016""";01.04.2016;Акт;;;;"""У-000130""";2018-02-28;1105,23;0,0;221,050;1326,280
112;101015738;;"РУП ""Белпочта""";103;Продавец;Кондратович Людмила Алимпиевна;112;100588821;;НП ООО ЭРТЕКС;105;Покупатель;" ";101015738-2018-0000160225;;Исходный;Выставлен. Подписан получателем;06-03-2018;28-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""3333      """;08.01.2018;Другое;Заказ по вед. подписке;;;"""265557""";2018-01-10;0,91;0,0;0,180;1,090
112;190121174;"     ";"ОАО ""БелГрузМагистраль""";105;Продавец;Лисовец Лариса Николаевна;112;100588821;"     ";ЭРТЕКС НП ООО;105;Покупатель;" ";190121174-2018-0000003171;;Исходный;Выставлен. Подписан получателем;07-03-2018;28-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""Договор № 100М10""";11.11.2010;Акт выполненных работ;Акт выполненных работ;;;"""00000001811""";2018-02-28;17,33;0,0;3,470;20,800
112;101007741;;"РУП ""БЕЛТЕЛЕКОМ""";111;Продавец;Зеленина Диана Викторовна;112;100588821;"     ";"НП ООО ""ЭРТЕКС""";105;Покупатель;" ";101007741-2018-9703002228;;Исходный;Выставлен. Подписан получателем;09-03-2018;28-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""17040192228""";19.04.2016;Счет-фактура;Счёт-фактура;;;"""1022697""";2018-03-12;16,4;0,0;4,100;20,500
112;102302797;;"ФИЛИАЛ МГТС РУП ""БЕЛТЕЛЕКОМ""";104;Продавец;Ухтинская Светлана Сергеевна;112;100588821;"     ";"НП ООО ""ЭРТЕКС""";105;Покупатель;" ";102302797-2018-9703002424;;Исходный;Выставлен. Подписан получателем;09-03-2018;28-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""17040192228""";19.04.2016;Счет-фактура;Счёт-фактура;;;"""1022697""";2018-03-12;25,17;0,0;6,300;31,470
112;190121174;"     ";"ОАО ""БелГрузМагистраль""";105;Продавец;Лисовец Лариса Николаевна;112;100588821;"     ";ЭРТЕКС НП ООО;105;Покупатель;" ";190121174-2018-0000003261;;Исходный;Выставлен. Подписан получателем;07-03-2018;28-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""Договор № 100Т10""";11.11.2010;Акт выполненных работ;Акт выполненных работ;;;"""00000001909""";2018-02-28;12,2;0,0;2,440;14,640
112;102347252;"     ";"Завод металлоконструкций ОАО ""Трест №15""Спецстрой""";105;Продавец;Красногирь Тамара Владимировна;112;100588821;"     ";"НП ООО ""Эртекс""";105;Покупатель;" ";102347252-2018-0000000367;;Исходный;Выставлен. Подписан получателем;03-03-2018;28-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""61""";01.04.2010;Акт;;;;"""У-000095""";2018-02-28;53,08;0,0;10,620;63,700
112;191006598;;"ООО ""Внешевросервис""";111;Продавец;Овсянникова Татьяна Эдуардовна;112;100588821;;"Научно-производственное общество с ограниченной ответственностью ""Эртекс"" (НП ООО ""Эртекс"")";105;Покупатель;" ";191006598-2018-0000016989;;Исходный;Выставлен. Подписан получателем;03-03-2018;27-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""ТА-0600/0000328-13-1240""";18.07.2013;Акт выполненных работ;Акт выполненных работ;;;"""00000012867""";2018-02-27;23,9;0,0;4,780;28,680
112;101371770;;"ОДО ""ТЭЙПС-ПРО""";104;Продавец;Нарута Анастасия Викторовна;112;100588821;;"НП ООО ""ЭРТЕКС""";105;Покупатель;" ";101371770-2018-0000002623;;Исходный;Выставлен. Подписан получателем;03-03-2018;27-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""1600""";23.02.2018;ТТН-1;ТТН-1;402961;ЮФ;"""4299945""";2018-02-27;63,36;0,0;12,670;76,030
112;100152272;;"УП ""Эдон-92""";103;Продавец;Дубринская Татьяна Николаевна;112;100588821;;Эртекс НП ООО;105;Покупатель;" ";100152272-2018-0003804176;;Исходный;Выставлен. Подписан получателем;04-03-2018;26-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""764""";19.02.2015;ТТН-1;;402961;ЮХ;"""3804176""";2018-02-26;251,0;0,0;50,200;301,200
