INVOICE;Исходный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Код страны поставщика;УНП поставщика;Код филиала для поставщика;Наименование поставщика;ИМНС поставщика;Статус поставщика;ФИО подписавшего ЭСЧФ поставщика;Код страны получателя;УНП получателя;Код филиала для получателя;Наименование получателя;ИМНС получателя;Статус получателя;ФИО подписавшего ЭСЧФ получателя;№ ЭСЧФ;К ЭСЧФ;Тип ЭСЧФ;Статус ЭСЧФ;Дата выставления;Дата совершения;Дата подписания получателем;Дата аннулирования;Регистрационный номер выпуска товаров (поставщик);Дата выпуска товаров (поставщик);Дата разрешения на убытие товаров (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (поставщик);Регистрационный номер выпуска товаров (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (получатель);Дата ввоза товаров (получатель);Договор;Дата договора;Вид документа;Наименование документа;Код формы;Серия;Номер;Дата документа;Cумма без НДС;Cумма акциза;Сумма НДС;Стоимость с НДС
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;800004512;     ;"ООО ""Бенцингер""";106;Покупатель; ;691772248-2018-0000000755;;Исходный;Выставлен. Подписан получателем;05.03.2018;27.02.2018;06.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""02/10""";02.10.2014;ТТН-1;;402961;ЮЯ;"""0114932""";27.02.2018;300,97;0;60,2;361,17
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;101468143;     ;"ООО ""Вторматериалы-1""";112;Покупатель; ;691772248-2018-0000000765;;Исходный;Выставлен. Подписан получателем;06.03.2018;27.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""697""";27.02.2018;ТТН-1;;402961;ЮЯ;"""0114936""";27.02.2018;369,33;0;73,87;443,2
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;691499530;     ;"ООО ""ИнтерГруппАвтоЗапчасти""";603;Покупатель; ;691772248-2018-0000000756;;Исходный;Выставлен. Подписан получателем;05.03.2018;27.02.2018;06.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""09/10-3""";09.10.2014;ТТН-1;;402961;ЮЯ;"""0114926""";27.02.2018;92,1;0;18,42;110,52
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;690603621;     ;"ЧТУП ""БелРосавтолайн""";613;Покупатель; ;691772248-2018-0000000754;;Исходный;Выставлен. Подписан получателем;05.03.2018;27.02.2018;06.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""635""";21.02.2018;ТТН-1;;402961;ЮЯ;"""0114937""";27.02.2018;157,47;0;31,49;188,96
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;691575616;     ;"ООО ""Алвико-Транс""";613;Покупатель; ;691772248-2018-0000000763;;Исходный;Выставлен. Подписан получателем;06.03.2018;27.02.2018;15.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";25.01.2016;ТТН-1;;402961;ЮЯ;"""0114934""";27.02.2018;685,68;0;137,14;822,82
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;691575616;     ;"ООО ""Алвико-Транс""";613;Покупатель; ;691772248-2018-0000000764;;Исходный;Выставлен. Подписан получателем;06.03.2018;27.02.2018;15.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";25.01.2016;ТТН-1;;402961;ЮЯ;"""0114935""";27.02.2018;281,6;0;56,32;337,92
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;690363881;     ;"ОАО  ""Озерицкий -Агро""";619;Покупатель; ;691772248-2018-0000000749;;Исходный;Выставлен. Подписан получателем;05.03.2018;26.02.2018;19.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""633""";21.02.2018;ТТН-1;;402961;ЮЯ;"""0114922""";26.02.2018;1360;0;272;1632
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;600119414;     ;"ГЛХУ ""Узденский лесхоз""";624;Покупатель; ;691772248-2018-0000000751;;Исходный;Выставлен. Подписан получателем;05.03.2018;26.02.2018;16.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""656""";23.02.2018;ТТН-1;;402961;ЮЯ;"""0114924""";26.02.2018;663,8;0;132,76;796,56
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;290971819;     ;"ПУП ""Брествторчермет""";232;Покупатель; ;691772248-2018-0000000771;;Исходный;Выставлен. Подписан получателем;06.03.2018;26.02.2018;07.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""05-1/16200-65074""";23.02.2018;ТТН-1;;402961;ЮЯ;"""0114921""";26.02.2018;500;0;100;600
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;690333475;     ;ИП Матусевич Ж.М .;614;Покупатель; ;691772248-2018-0000000748;;Исходный;Выставлен. Подписан получателем;05.03.2018;26.02.2018;07.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""678""";26.02.2018;ТТН-1;;402961;ЮЯ;"""0114923""";26.02.2018;258,3;0;51,66;309,96
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;190431542;     ;"РО ""Белагросервис""";107;Покупатель; ;691772248-2018-0000000770;;Исходный;Выставлен. Подписан получателем;06.03.2018;26.02.2018;16.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""8-06/17""";08.06.2017;ТТН-1;;402961;ЮХ;"""0363031""";26.02.2018;2346;0;469,2;2815,2
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;101468143;     ;"ООО ""Вторматериалы-1""";112;Покупатель; ;691772248-2018-0000000747;;Исходный;Выставлен. Подписан получателем;05.03.2018;26.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""643""";22.02.2018;ТТН-1;;402961;ЮЯ;"""0114919""";26.02.2018;327,99;0;65,6;393,59
